".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","p.side","p.side.method","p.side.signif"
"num","Control","CCl4",0.0285714285714286,0.29,"0.029","*","Wilcoxon",137.887427596932,0.0142857142857143,"less","*"
"num","Control","CCl4(PPI+Bac.)",0.0285714285714286,0.29,"0.029","*","Wilcoxon",144.453495577738,0.0142857142857143,"less","*"
"num","Control","CCl4(PPI)",0.0571428571428571,0.29,"0.057",".","Wilcoxon",151.019563558545,0.0285714285714286,"less","*"
"num","Control","CCl4(Bac.)",0.0285714285714286,0.29,"0.029","*","Wilcoxon",157.585631539351,0.0142857142857143,"less","*"
"num","CCl4","CCl4(PPI+Bac.)",0.0285714285714286,0.29,"0.029","*","Wilcoxon",164.151699520157,0.0142857142857143,"less","*"
"num","CCl4","CCl4(PPI)",0.0571428571428571,0.29,"0.057",".","Wilcoxon",170.717767500964,0.0285714285714286,"less","*"
"num","CCl4","CCl4(Bac.)",0.885714285714286,0.89,"0.886","ns","Wilcoxon",177.28383548177,0.442857142857143,"less","ns"
"num","CCl4(PPI+Bac.)","CCl4(PPI)",0.0571428571428571,0.29,"0.057",".","Wilcoxon",183.849903462576,0.0285714285714286,"greater","*"
"num","CCl4(PPI+Bac.)","CCl4(Bac.)",0.0285714285714286,0.29,"0.029","*","Wilcoxon",190.415971443382,0.0142857142857143,"greater","*"
"num","CCl4(PPI)","CCl4(Bac.)",0.0571428571428571,0.29,"0.057",".","Wilcoxon",196.982039424189,0.0285714285714286,"greater","*"
