".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","p.side","p.side.method","p.side.signif"
"num","Control","CCl4",0.0285714285714286,0.29,"0.029","*","Wilcoxon",118.619731999628,0.0142857142857143,"less","*"
"num","Control","CCl4(PPI+Bac.)",0.0285714285714286,0.29,"0.029","*","Wilcoxon",124.268290666277,0.0142857142857143,"less","*"
"num","Control","CCl4(PPI)",0.0285714285714286,0.29,"0.029","*","Wilcoxon",129.916849332926,0.0142857142857143,"less","*"
"num","Control","CCl4(Bac.)",0.0285714285714286,0.29,"0.029","*","Wilcoxon",135.565407999575,0.0142857142857143,"less","*"
"num","CCl4","CCl4(PPI+Bac.)",0.0285714285714286,0.29,"0.029","*","Wilcoxon",141.213966666224,0.0142857142857143,"less","*"
"num","CCl4","CCl4(PPI)",0.0285714285714286,0.29,"0.029","*","Wilcoxon",146.862525332873,0.0142857142857143,"less","*"
"num","CCl4","CCl4(Bac.)",0.0285714285714286,0.29,"0.029","*","Wilcoxon",152.511083999522,0.0142857142857143,"less","*"
"num","CCl4(PPI+Bac.)","CCl4(PPI)",0.485714285714286,0.49,"0.486","ns","Wilcoxon",158.159642666171,0.242857142857143,"greater","ns"
"num","CCl4(PPI+Bac.)","CCl4(Bac.)",0.0571428571428571,0.29,"0.057",".","Wilcoxon",163.80820133282,0.0285714285714286,"greater","*"
"num","CCl4(PPI)","CCl4(Bac.)",0.114285714285714,0.29,"0.114","ns","Wilcoxon",169.456759999469,0.0571428571428571,"greater","."
