".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","p.side","p.side.method","p.side.signif"
"num","Control","CCl4",1,1,"1.00","ns","Wilcoxon",4.49697034106651,0.5,"greater","ns"
"num","Control","CCl4(PPI+Bac.)",0.0403606091091345,0.4,"0.04","*","Wilcoxon",4.7111117858792,0.0201803045545672,"less","*"
"num","Control","CCl4(PPI)",0.0403606091091345,0.4,"0.04","*","Wilcoxon",4.92525323069189,0.0201803045545672,"less","*"
"num","Control","CCl4(Bac.)",0.312216205637349,1,"0.31","ns","Wilcoxon",5.13939467550458,0.156108102818674,"less","ns"
"num","CCl4","CCl4(PPI+Bac.)",0.218920801906399,1,"0.22","ns","Wilcoxon",5.35353612031728,0.109460400953199,"less","ns"
"num","CCl4","CCl4(PPI)",0.409510398068751,1,"0.41","ns","Wilcoxon",5.56767756512997,0.204755199034375,"less","ns"
"num","CCl4","CCl4(Bac.)",0.755284828242158,1,"0.76","ns","Wilcoxon",5.78181900994266,0.377642414121079,"less","ns"
"num","CCl4(PPI+Bac.)","CCl4(PPI)",0.977402191293698,1,"0.98","ns","Wilcoxon",5.99596045475535,0.488701095646849,"less","ns"
"num","CCl4(PPI+Bac.)","CCl4(Bac.)",0.347357918699957,1,"0.35","ns","Wilcoxon",6.21010189956804,0.173678959349978,"greater","ns"
"num","CCl4(PPI)","CCl4(Bac.)",0.347357918699957,1,"0.35","ns","Wilcoxon",6.42424334438073,0.173678959349978,"greater","ns"
