".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","p.side","p.side.method","p.side.signif"
"num","Control","CCl4",0.347357918699957,1,"0.35","ns","Wilcoxon",1.41619061217898,0.173678959349978,"greater","ns"
"num","Control","CCl4(PPI+Bac.)",0.218920801906399,1,"0.22","ns","Wilcoxon",1.48362826037798,0.109460400953199,"greater","ns"
"num","Control","CCl4(PPI)",0.26566958415121,1,"0.27","ns","Wilcoxon",1.55106590857698,0.132834792075605,"greater","ns"
"num","Control","CCl4(Bac.)",0.409510398068751,1,"0.41","ns","Wilcoxon",1.61850355677598,0.204755199034375,"greater","ns"
"num","CCl4","CCl4(PPI+Bac.)",0.977402191293698,1,"0.98","ns","Wilcoxon",1.68594120497498,0.488701095646849,"greater","ns"
"num","CCl4","CCl4(PPI)",0.932300503373326,1,"0.93","ns","Wilcoxon",1.75337885317398,0.466150251686663,"greater","ns"
"num","CCl4","CCl4(Bac.)",0.629725504001988,1,"0.63","ns","Wilcoxon",1.82081650137298,0.314862752000994,"less","ns"
"num","CCl4(PPI+Bac.)","CCl4(PPI)",0.908052653228663,1,"0.91","ns","Wilcoxon",1.88825414957198,0.454026326614332,"greater","ns"
"num","CCl4(PPI+Bac.)","CCl4(Bac.)",0.817322315673344,1,"0.82","ns","Wilcoxon",1.95569179777098,0.408661157836672,"less","ns"
"num","CCl4(PPI)","CCl4(Bac.)",0.712535075639127,1,"0.71","ns","Wilcoxon",2.02312944596998,0.356267537819564,"less","ns"
