".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","p.side","p.side.method","p.side.signif"
"num","Control","CCl4",0.0780243447493414,0.39,"0.0780",".","Wilcoxon",4.47298764815399,0.0390121723746707,"less","*"
"num","Control","CCl4(PPI+Bac.)",0.00829316060168126,0.075,"0.0083","**","Wilcoxon",4.68598705997085,0.00414658030084063,"less","**"
"num","Control","CCl4(PPI)",0.0241842556420562,0.19,"0.0242","*","Wilcoxon",4.89898647178771,0.0120921278210281,"less","*"
"num","Control","CCl4(Bac.)",0.0387211388692073,0.27,"0.0387","*","Wilcoxon",5.11198588360457,0.0193605694346036,"less","*"
"num","CCl4","CCl4(PPI+Bac.)",0.100530442770314,0.4,"0.1005","ns","Wilcoxon",5.32498529542142,0.0502652213851568,"less","."
"num","CCl4","CCl4(PPI)",0.0518646113611789,0.31,"0.0519",".","Wilcoxon",5.53798470723828,0.0259323056805894,"less","*"
"num","CCl4","CCl4(Bac.)",0.551167166391288,0.72,"0.5512","ns","Wilcoxon",5.75098411905514,0.275583583195644,"less","ns"
"num","CCl4(PPI+Bac.)","CCl4(PPI)",0.241523787828809,0.72,"0.2415","ns","Wilcoxon",5.96398353087199,0.120761893914404,"less","ns"
"num","CCl4(PPI+Bac.)","CCl4(Bac.)",0.291342659225281,0.72,"0.2913","ns","Wilcoxon",6.17698294268885,0.145671329612641,"greater","ns"
"num","CCl4(PPI)","CCl4(Bac.)",0.00555266899650024,0.056,"0.0056","**","Wilcoxon",6.38998235450571,0.00277633449825012,"greater","**"
