".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","p.side","p.side.method","p.side.signif"
"num","Control","CCl4",0.350583112612177,1,"0.35","ns","Wilcoxon",1.34011666441845,0.175291556306088,"greater","ns"
"num","Control","CCl4(PPI+Bac.)",0.37565104123532,1,"0.38","ns","Wilcoxon",1.40393174367647,0.18782552061766,"greater","ns"
"num","Control","CCl4(PPI)",0.54179648495158,1,"0.54","ns","Wilcoxon",1.46774682293449,0.27089824247579,"greater","ns"
"num","Control","CCl4(Bac.)",0.40176294184618,1,"0.40","ns","Wilcoxon",1.53156190219251,0.20088147092309,"greater","ns"
"num","CCl4","CCl4(PPI+Bac.)",0.987538144803196,1,"0.99","ns","Wilcoxon",1.59537698145053,0.493769072401598,"greater","ns"
"num","CCl4","CCl4(PPI)",1,1,"1.00","ns","Wilcoxon",1.65919206070855,0.506230927598402,"less","ns"
"num","CCl4","CCl4(Bac.)",0.812420361853115,1,"0.81","ns","Wilcoxon",1.72300713996658,0.406210180926557,"greater","ns"
"num","CCl4(PPI+Bac.)","CCl4(PPI)",0.46677604855929,1,"0.47","ns","Wilcoxon",1.7868222192246,0.233388024279645,"less","ns"
"num","CCl4(PPI+Bac.)","CCl4(Bac.)",0.318919844044616,1,"0.32","ns","Wilcoxon",1.85063729848262,0.159459922022308,"greater","ns"
"num","CCl4(PPI)","CCl4(Bac.)",0.646385535279994,1,"0.65","ns","Wilcoxon",1.91445237774064,0.323192767639997,"greater","ns"
