".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","p.side","p.side.method","p.side.signif"
"num","Control(Ct=25)","CCl4",0.0449019952990878,0.22,"0.0449","*","Wilcoxon",9.27352777613223,0.0224509976495439,"less","*"
"num","Control(Ct=25)","CCl4(PPI+Bac.)",7.39602301050679e-07,7.4e-06,"7.4e-07","****","Wilcoxon",9.71512433690043,3.6980115052534e-07,"less","****"
"num","Control(Ct=25)","CCl4(PPI)",0.00451305324101124,0.027,"0.0045","**","Wilcoxon",10.1567208976686,0.00225652662050562,"less","**"
"num","Control(Ct=25)","CCl4(Bac.)",0.127687899662593,0.51,"0.1277","ns","Wilcoxon",10.5983174584368,0.0638439498312967,"less","."
"num","CCl4","CCl4(PPI+Bac.)",7.39602301050679e-07,7.4e-06,"7.4e-07","****","Wilcoxon",11.039914019205,3.6980115052534e-07,"less","****"
"num","CCl4","CCl4(PPI)",0.127687899662593,0.51,"0.1277","ns","Wilcoxon",11.4815105799732,0.0638439498312967,"less","."
"num","CCl4","CCl4(Bac.)",0.932300503373326,0.93,"0.9323","ns","Wilcoxon",11.9231071407414,0.466150251686663,"greater","ns"
"num","CCl4(PPI+Bac.)","CCl4(PPI)",8.87522761260815e-06,7.1e-05,"8.9e-06","****","Wilcoxon",12.3647037015096,4.43761380630407e-06,"greater","****"
"num","CCl4(PPI+Bac.)","CCl4(Bac.)",1.40524437199629e-05,9.8e-05,"1.4e-05","****","Wilcoxon",12.8063002622778,7.02622185998145e-06,"greater","****"
"num","CCl4(PPI)","CCl4(Bac.)",0.26566958415121,0.53,"0.2657","ns","Wilcoxon",13.247896823046,0.132834792075605,"greater","ns"
