".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","p.side","p.side.method","p.side.signif"
"num","Control(Ct=15)","CCl4",7.17414232019159e-05,0.00036,"7.2e-05","****","Wilcoxon",5.97121246483865,3.58707116009579e-05,"less","****"
"num","Control(Ct=15)","CCl4(PPI+Bac.)",7.39602301050679e-07,7.4e-06,"7.4e-07","****","Wilcoxon",6.25555591554525,3.6980115052534e-07,"less","****"
"num","Control(Ct=15)","CCl4(PPI)",3.64420272924621e-05,0.00029,"3.6e-05","****","Wilcoxon",6.53989936625185,1.82210136462311e-05,"less","****"
"num","Control(Ct=15)","CCl4(Bac.)",7.39602301050679e-07,7.4e-06,"7.4e-07","****","Wilcoxon",6.82424281695845,3.6980115052534e-07,"less","****"
"num","CCl4","CCl4(PPI+Bac.)",0.442833179742589,0.44,"0.44283","ns","Wilcoxon",7.10858626766506,0.221416589871294,"greater","ns"
"num","CCl4","CCl4(PPI)",3.64420272924621e-05,0.00029,"3.6e-05","****","Wilcoxon",7.39292971837166,1.82210136462311e-05,"less","****"
"num","CCl4","CCl4(Bac.)",0.000857938669218788,0.0026,"0.00086","***","Wilcoxon",7.67727316907826,0.000428969334609394,"less","***"
"num","CCl4(PPI+Bac.)","CCl4(PPI)",4.67706587118562e-05,0.00029,"4.7e-05","****","Wilcoxon",7.96161661978486,2.33853293559281e-05,"less","****"
"num","CCl4(PPI+Bac.)","CCl4(Bac.)",0.000371280355127441,0.0015,"0.00037","***","Wilcoxon",8.24596007049147,0.00018564017756372,"less","***"
"num","CCl4(PPI)","CCl4(Bac.)",0.00608788036785886,0.012,"0.00609","**","Wilcoxon",8.53030352119807,0.00304394018392943,"greater","**"
