".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","p.side","p.side.method","p.side.signif"
"num","Control","CCl4",0.798745338656498,1,"0.799","ns","Wilcoxon",2.64663118788336,0.399372669328249,"less","ns"
"num","Control","CCl4(PPI+Bac.)",0.0887337860685552,0.62,"0.089",".","Wilcoxon",2.77266124444923,0.0443668930342776,"less","*"
"num","Control","CCl4(PPI)",0.664868686245818,1,"0.665","ns","Wilcoxon",2.8986913010151,0.332434343122909,"greater","ns"
"num","Control","CCl4(Bac.)",0.0350494397445944,0.33,"0.035","*","Wilcoxon",3.02472135758098,0.0175247198722972,"less","*"
"num","CCl4","CCl4(PPI+Bac.)",0.318585170382182,1,"0.319","ns","Wilcoxon",3.15075141414685,0.159292585191091,"less","ns"
"num","CCl4","CCl4(PPI)",0.409510398068751,1,"0.410","ns","Wilcoxon",3.27678147071273,0.204755199034375,"greater","ns"
"num","CCl4","CCl4(Bac.)",0.285371559271553,1,"0.285","ns","Wilcoxon",3.4028115272786,0.142685779635777,"less","ns"
"num","CCl4(PPI+Bac.)","CCl4(PPI)",0.0332414254207228,0.33,"0.033","*","Wilcoxon",3.52884158384447,0.0166207127103614,"greater","*"
"num","CCl4(PPI+Bac.)","CCl4(Bac.)",0.62352939698878,1,"0.624","ns","Wilcoxon",3.65487164041035,0.31176469849439,"less","ns"
"num","CCl4(PPI)","CCl4(Bac.)",0.0350494397445944,0.33,"0.035","*","Wilcoxon",3.78090169697622,0.0175247198722972,"less","*"
