".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","p.side","p.side.method","p.side.signif"
"num","Control","CCl4",0.0646135366443438,0.45,"0.06461",".","Wilcoxon",3.21070754685323,0.0323067683221719,"less","*"
"num","Control","CCl4(PPI+Bac.)",0.000102804719846044,0.001,"0.00010","***","Wilcoxon",3.36359838241767,5.14023599230222e-05,"less","****"
"num","Control","CCl4(PPI)",0.000656027241031952,0.0059,"0.00066","***","Wilcoxon",3.51648921798211,0.000328013620515976,"less","***"
"num","Control","CCl4(Bac.)",0.00099614878516713,0.008,"0.00100","***","Wilcoxon",3.66938005354655,0.000498074392583565,"less","***"
"num","CCl4","CCl4(PPI+Bac.)",0.291342659225281,1,"0.29134","ns","Wilcoxon",3.82227088911099,0.145671329612641,"less","ns"
"num","CCl4","CCl4(PPI)",0.241523787828809,1,"0.24152","ns","Wilcoxon",3.97516172467543,0.120761893914404,"less","ns"
"num","CCl4","CCl4(Bac.)",0.355506458140013,1,"0.35551","ns","Wilcoxon",4.12805256023987,0.177753229070006,"less","ns"
"num","CCl4(PPI+Bac.)","CCl4(PPI)",0.755284828242158,1,"0.75528","ns","Wilcoxon",4.28094339580431,0.377642414121079,"less","ns"
"num","CCl4(PPI+Bac.)","CCl4(Bac.)",0.712535075639127,1,"0.71254","ns","Wilcoxon",4.43383423136875,0.356267537819564,"greater","ns"
"num","CCl4(PPI)","CCl4(Bac.)",0.755284828242158,1,"0.75528","ns","Wilcoxon",4.58672506693319,0.377642414121079,"greater","ns"
