".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","p.side","p.side.method","p.side.signif"
"num","Control","CCl4",0.100530442770314,0.3,"0.10053","ns","Wilcoxon",5.97034338156391,0.0502652213851568,"greater","."
"num","Control","CCl4(PPI+Bac.)",7.17414232019159e-05,0.00072,"7.2e-05","****","Wilcoxon",6.25464544735267,3.58707116009579e-05,"less","****"
"num","Control","CCl4(PPI)",0.347357918699957,0.35,"0.34736","ns","Wilcoxon",6.53894751314143,0.173678959349978,"less","ns"
"num","Control","CCl4(Bac.)",0.0241842556420562,0.15,"0.02418","*","Wilcoxon",6.82324957893019,0.0120921278210281,"less","*"
"num","CCl4","CCl4(PPI+Bac.)",0.000656027241031952,0.0059,"0.00066","***","Wilcoxon",7.10755164471894,0.000328013620515976,"less","***"
"num","CCl4","CCl4(PPI)",0.0529946062806954,0.21,"0.05299",".","Wilcoxon",7.3918537105077,0.0264973031403477,"less","*"
"num","CCl4","CCl4(Bac.)",0.0144925070890881,0.1,"0.01449","*","Wilcoxon",7.67615577629646,0.00724625354454403,"less","**"
"num","CCl4(PPI+Bac.)","CCl4(PPI)",0.00291403306613968,0.023,"0.00291","**","Wilcoxon",7.96045784208522,0.00145701653306984,"greater","**"
"num","CCl4(PPI+Bac.)","CCl4(Bac.)",0.0284206976224744,0.15,"0.02842","*","Wilcoxon",8.24475990787397,0.0142103488112372,"greater","*"
"num","CCl4(PPI)","CCl4(Bac.)",0.159973019308058,0.32,"0.15997","ns","Wilcoxon",8.52906197366273,0.0799865096540288,"less","."
