".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","p.side","p.side.method","p.side.signif"
"num","Control(Ct=26)","CCl4",0.409510398068751,1,"0.410","ns","Wilcoxon",3.59252101896657,0.204755199034375,"less","ns"
"num","Control(Ct=26)","CCl4(PPI+Bac.)",0.318585170382182,1,"0.319","ns","Wilcoxon",3.76359344844117,0.159292585191091,"less","ns"
"num","Control(Ct=26)","CCl4(PPI)",0.0780243447493414,0.78,"0.078",".","Wilcoxon",3.93466587791576,0.0390121723746707,"less","*"
"num","Control(Ct=26)","CCl4(Bac.)",0.442833179742589,1,"0.443","ns","Wilcoxon",4.10573830739036,0.221416589871294,"less","ns"
"num","CCl4","CCl4(PPI+Bac.)",0.670659532955939,1,"0.671","ns","Wilcoxon",4.27681073686496,0.335329766477969,"greater","ns"
"num","CCl4","CCl4(PPI)",0.551167166391288,1,"0.551","ns","Wilcoxon",4.44788316633956,0.275583583195644,"less","ns"
"num","CCl4","CCl4(Bac.)",0.347357918699957,1,"0.347","ns","Wilcoxon",4.61895559581416,0.173678959349978,"greater","ns"
"num","CCl4(PPI+Bac.)","CCl4(PPI)",0.755284828242158,1,"0.755","ns","Wilcoxon",4.79002802528876,0.377642414121079,"greater","ns"
"num","CCl4(PPI+Bac.)","CCl4(Bac.)",0.442833179742589,1,"0.443","ns","Wilcoxon",4.96110045476335,0.221416589871294,"greater","ns"
"num","CCl4(PPI)","CCl4(Bac.)",0.603095320593906,1,"0.603","ns","Wilcoxon",5.13217288423795,0.301547660296953,"greater","ns"
